"teamid","lloc","count"
3101,"N",7
3101,"H",16
3101,"A",40
3102,"H",229
3102,"A",281
3102,"N",25
3103,"A",223
3103,"N",22
3103,"H",167
3104,"H",111
3104,"N",56
3104,"A",184
3105,"H",128
3105,"N",20
3105,"A",238
3106,"A",222
3106,"H",99
3106,"N",25
3107,"H",112
3107,"N",17
3107,"A",180
3108,"N",40
3108,"A",248
3108,"H",93
3110,"A",179
3110,"N",16
3110,"H",113
3111,"H",136
3111,"A",217
3111,"N",28
3112,"H",127
3112,"A",192
3112,"N",24
3113,"N",25
3113,"A",137
3113,"H",80
3114,"H",88
3114,"A",162
3114,"N",16
3115,"A",316
3115,"H",138
3115,"N",16
3116,"H",109
3116,"A",164
3116,"N",26
3117,"N",27
3117,"H",92
3117,"A",202
3119,"A",180
3119,"H",116
3119,"N",9
3120,"N",50
3120,"H",82
3120,"A",153
3122,"N",21
3122,"A",218
3122,"H",130
3123,"N",27
3123,"A",163
3123,"H",110
3124,"H",35
3124,"A",84
3124,"N",9
3125,"H",74
3125,"A",145
3125,"N",22
3126,"A",193
3126,"N",39
3126,"H",132
3127,"H",118
3127,"N",23
3127,"A",178
3128,"N",6
3128,"H",33
3128,"A",51
3129,"H",109
3129,"N",15
3129,"A",184
3130,"H",118
3130,"A",172
3130,"N",23
3131,"A",206
3131,"N",16
3131,"H",132
3132,"N",24
3132,"A",159
3132,"H",93
3133,"H",118
3133,"N",54
3133,"A",208
3135,"N",26
3135,"A",197
3135,"H",160
3136,"H",69
3136,"A",118
3136,"N",9
3137,"N",10
3137,"A",179
3137,"H",97
3138,"A",189
3138,"H",135
3138,"N",23
3139,"N",26
3139,"H",127
3139,"A",192
3140,"N",25
3140,"H",64
3140,"A",137
3141,"A",203
3141,"H",110
3141,"N",24
3142,"A",209
3142,"H",127
3142,"N",16
3143,"N",17
3143,"A",162
3143,"H",126
3144,"A",189
3144,"H",114
3144,"N",18
3145,"N",20
3145,"H",148
3145,"A",227
3146,"H",57
3146,"N",11
3146,"A",105
3147,"A",156
3147,"N",12
3147,"H",115
3148,"A",245
3148,"H",154
3148,"N",17
3149,"H",141
3149,"A",237
3149,"N",25
3150,"N",32
3150,"H",83
3150,"A",173
3151,"A",105
3151,"H",68
3151,"N",16
3152,"A",268
3152,"N",28
3152,"H",187
3153,"A",166
3153,"H",125
3153,"N",25
3155,"N",29
3155,"H",159
3155,"A",193
3156,"N",19
3156,"H",128
3156,"A",218
3157,"H",98
3157,"N",36
3157,"A",188
3158,"H",165
3158,"A",231
3158,"N",21
3159,"A",280
3159,"H",157
3159,"N",15
3160,"A",186
3160,"N",20
3160,"H",130
3161,"N",23
3161,"A",169
3161,"H",104
3162,"N",15
3162,"H",164
3162,"A",230
3163,"A",25
3163,"H",17
3163,"N",2
3164,"N",41
3164,"A",232
3164,"H",87
3165,"H",140
3165,"A",214
3165,"N",9
3166,"A",168
3166,"N",32
3166,"H",75
3167,"N",18
3167,"H",62
3167,"A",102
3168,"N",18
3168,"H",193
3168,"A",252
3169,"N",18
3169,"H",163
3169,"A",215
3170,"H",177
3170,"N",27
3170,"A",260
3171,"H",130
3171,"N",13
3171,"A",191
3172,"H",118
3172,"A",198
3172,"N",25
3173,"H",92
3173,"N",30
3173,"A",151
3174,"H",86
3174,"N",20
3174,"A",146
3175,"H",130
3175,"A",249
3175,"N",32
3176,"H",119
3176,"N",30
3176,"A",199
3177,"H",67
3177,"N",22
3177,"A",121
3178,"A",232
3178,"H",156
3178,"N",22
3179,"A",142
3179,"H",84
3179,"N",22
3180,"H",92
3180,"A",174
3180,"N",27
3181,"H",36
3181,"A",83
3181,"N",14
3182,"H",102
3182,"N",21
3182,"A",165
3183,"A",232
3183,"H",135
3183,"N",21
3184,"H",123
3184,"N",31
3184,"A",196
3185,"A",173
3185,"N",22
3185,"H",116
3186,"N",30
3186,"H",130
3186,"A",212
3187,"H",112
3187,"N",37
3187,"A",191
3188,"A",122
3188,"H",62
3188,"N",15
3189,"H",117
3189,"A",194
3189,"N",27
3190,"H",106
3190,"N",23
3190,"A",216
3191,"H",153
3191,"A",236
3191,"N",24
3192,"H",165
3192,"A",250
3192,"N",15
3193,"A",175
3193,"N",27
3193,"H",109
3194,"H",153
3194,"A",214
3194,"N",27
3195,"N",16
3195,"A",33
3195,"H",13
3196,"N",23
3196,"A",162
3196,"H",122
3197,"H",105
3197,"A",215
3197,"N",46
3198,"H",169
3198,"A",170
3198,"N",15
3199,"N",22
3199,"H",92
3199,"A",125
3200,"H",153
3200,"A",222
3200,"N",24
3201,"A",163
3201,"H",92
3201,"N",16
3202,"A",214
3202,"N",22
3202,"H",104
3203,"N",20
3203,"A",138
3203,"H",87
3204,"A",213
3204,"N",32
3204,"H",146
3205,"A",178
3205,"N",33
3205,"H",97
3206,"N",17
3206,"A",221
3206,"H",145
3207,"H",129
3207,"A",185
3207,"N",30
3208,"N",25
3208,"A",117
3208,"H",65
3209,"A",182
3209,"H",148
3209,"N",24
3210,"H",107
3210,"N",27
3210,"A",149
3211,"N",31
3211,"H",71
3211,"A",116
3212,"N",27
3212,"A",230
3212,"H",86
3213,"A",52
3213,"H",33
3213,"N",9
3214,"H",75
3214,"N",26
3214,"A",164
3216,"H",108
3216,"A",180
3216,"N",17
3217,"H",72
3217,"A",140
3217,"N",21
3218,"N",24
3218,"A",134
3218,"H",156
3219,"H",101
3219,"N",18
3219,"A",181
3220,"A",199
3220,"N",31
3220,"H",137
3221,"H",114
3221,"N",19
3221,"A",174
3222,"A",194
3222,"H",140
3222,"N",31
3223,"A",138
3223,"H",95
3223,"N",14
3224,"A",217
3224,"H",104
3224,"N",38
3225,"H",112
3225,"N",38
3225,"A",193
3226,"A",190
3226,"H",94
3226,"N",21
3227,"A",224
3227,"N",15
3227,"H",164
3228,"H",149
3228,"N",27
3228,"A",193
3229,"H",141
3229,"N",26
3229,"A",191
3230,"A",81
3230,"N",9
3230,"H",52
3231,"N",26
3231,"H",122
3231,"A",182
3232,"H",115
3232,"A",186
3232,"N",27
3233,"A",221
3233,"N",25
3233,"H",148
3234,"A",140
3234,"H",83
3234,"N",26
3235,"N",21
3235,"H",63
3235,"A",148
3236,"N",16
3236,"A",210
3236,"H",124
3237,"N",25
3237,"A",209
3237,"H",105
3238,"H",92
3238,"N",25
3238,"A",208
3239,"H",108
3239,"N",18
3239,"A",190
3240,"A",238
3240,"N",22
3240,"H",138
3241,"A",119
3241,"N",24
3241,"H",58
3242,"N",20
3242,"H",146
3242,"A",198
3243,"N",37
3243,"A",145
3243,"H",95
3244,"A",168
3244,"N",16
3244,"H",94
3245,"A",183
3245,"H",96
3245,"N",30
3246,"H",94
3246,"A",152
3246,"N",21
3247,"A",218
3247,"H",160
3247,"N",21
3248,"N",24
3248,"A",275
3248,"H",178
3249,"A",210
3249,"N",12
3249,"H",109
3250,"H",126
3250,"A",169
3250,"N",16
3251,"N",31
3251,"H",52
3251,"A",103
3252,"A",225
3252,"H",158
3252,"N",14
3253,"A",202
3253,"H",135
3253,"N",20
3254,"H",165
3254,"N",21
3254,"A",206
3255,"H",106
3255,"A",204
3255,"N",24
3256,"A",131
3256,"H",75
3256,"N",19
3257,"N",27
3257,"H",43
3257,"A",122
3258,"N",26
3258,"A",197
3258,"H",145
3259,"A",231
3259,"N",14
3259,"H",137
3260,"H",185
3260,"N",20
3260,"A",247
3261,"N",20
3261,"A",129
3261,"H",66
3262,"A",89
3262,"H",53
3262,"N",9
3263,"N",43
3263,"H",96
3263,"A",181
3264,"N",13
3264,"A",210
3264,"H",165
3265,"A",132
3265,"N",19
3265,"H",97
3266,"H",91
3266,"N",25
3266,"A",145
3267,"A",192
3267,"N",37
3267,"H",155
3268,"N",14
3268,"A",108
3268,"H",68
3269,"A",226
3269,"H",149
3269,"N",29
3270,"H",128
3270,"A",234
3270,"N",16
3271,"N",29
3271,"A",230
3271,"H",128
3272,"A",181
3272,"H",139
3272,"N",30
3273,"H",129
3273,"N",20
3273,"A",210
3274,"H",107
3274,"A",148
3274,"N",17
3275,"A",197
3275,"H",131
3275,"N",20
3276,"A",170
3276,"N",23
3276,"H",115
3277,"H",76
3277,"N",25
3277,"A",142
3278,"A",160
3278,"N",27
3278,"H",112
3279,"A",197
3279,"N",35
3279,"H",138
3280,"H",89
3280,"N",28
3280,"A",130
3281,"A",172
3281,"H",113
3281,"N",35
3282,"H",148
3282,"A",228
3282,"N",28
3283,"H",86
3283,"N",22
3283,"A",149
3284,"A",198
3284,"H",110
3284,"N",40
3285,"H",68
3285,"A",142
3285,"N",25
3286,"N",24
3286,"A",175
3286,"H",102
3287,"H",143
3287,"N",18
3287,"A",207
3288,"H",134
3288,"A",242
3288,"N",46
3289,"A",12
3289,"H",11
3290,"A",266
3290,"N",42
3290,"H",132
3291,"H",137
3291,"N",15
3291,"A",223
3292,"A",120
3292,"H",64
3292,"N",14
3293,"A",228
3293,"N",18
3293,"H",125
3294,"N",13
3294,"A",140
3294,"H",73
3295,"H",87
3295,"A",150
3295,"N",30
3296,"A",224
3296,"N",20
3296,"H",146
3297,"A",71
3297,"H",46
3297,"N",7
3298,"A",197
3298,"H",112
3298,"N",20
3299,"N",28
3299,"H",106
3299,"A",199
3300,"A",156
3300,"N",16
3300,"H",84
3301,"H",99
3301,"N",25
3301,"A",131
3303,"H",40
3303,"N",16
3303,"A",79
3304,"A",160
3304,"H",94
3304,"N",27
3305,"N",31
3305,"A",219
3305,"H",143
3306,"A",216
3306,"H",132
3306,"N",20
3307,"N",16
3307,"A",141
3307,"H",99
3308,"N",25
3308,"A",193
3308,"H",129
3309,"A",223
3309,"H",143
3309,"N",19
3310,"N",21
3310,"A",244
3310,"H",161
3311,"H",136
3311,"N",22
3311,"A",251
3312,"N",11
3312,"H",112
3312,"A",167
3313,"A",214
3313,"N",36
3313,"H",154
3314,"A",113
3314,"H",74
3314,"N",17
3315,"N",12
3315,"A",107
3315,"H",46
3316,"N",13
3316,"A",178
3316,"H",88
3317,"N",23
3317,"H",138
3317,"A",215
3318,"A",222
3318,"H",142
3318,"N",32
3319,"N",17
3319,"A",228
3319,"H",142
3320,"N",30
3320,"H",90
3320,"A",168
3321,"N",25
3321,"A",215
3321,"H",170
3322,"H",91
3322,"A",197
3322,"N",24
3323,"H",42
3323,"A",86
3323,"N",9
3324,"H",115
3324,"A",181
3324,"N",15
3325,"A",200
3325,"H",131
3325,"N",21
3326,"N",19
3326,"H",70
3326,"A",120
3328,"H",82
3328,"N",26
3328,"A",132
3329,"H",114
3329,"A",174
3329,"N",24
3330,"N",28
3330,"A",130
3330,"H",74
3331,"N",21
3331,"H",80
3331,"A",199
3332,"N",48
3332,"H",76
3332,"A",167
3333,"H",116
3333,"N",29
3333,"A",164
3334,"N",13
3334,"A",212
3334,"H",130
3335,"H",119
3335,"A",152
3335,"N",13
3336,"A",159
3336,"N",28
3336,"H",96
3337,"A",188
3337,"N",23
3337,"H",132
3338,"A",191
3338,"N",26
3338,"H",164
3339,"A",217
3339,"N",24
3339,"H",164
3340,"A",211
3340,"N",18
3340,"H",128
3341,"H",94
3341,"A",242
3341,"N",34
3342,"A",155
3342,"H",76
3342,"N",13
3343,"A",146
3343,"H",87
3343,"N",15
3344,"N",21
3344,"H",181
3344,"A",237
3345,"A",120
3345,"N",24
3345,"H",75
3346,"A",129
3346,"N",25
3346,"H",78
3347,"N",22
3347,"H",103
3347,"A",201
3348,"A",244
3348,"H",191
3348,"N",25
3349,"N",24
3349,"A",184
3349,"H",92
3350,"N",29
3350,"A",164
3350,"H",130
3351,"N",25
3351,"A",237
3351,"H",178
3352,"N",16
3352,"H",116
3352,"A",200
3353,"H",69
3353,"A",145
3353,"N",23
3354,"A",237
3354,"N",30
3354,"H",144
3355,"A",72
3355,"H",27
3355,"N",14
3356,"A",227
3356,"H",178
3356,"N",35
3357,"A",162
3357,"H",72
3357,"N",8
3358,"H",137
3358,"A",260
3358,"N",17
3359,"A",206
3359,"H",112
3359,"N",23
3360,"N",18
3360,"H",124
3360,"A",166
3361,"H",144
3361,"N",25
3361,"A",198
3362,"H",173
3362,"N",18
3362,"A",226
3363,"A",240
3363,"N",30
3363,"H",183
3364,"A",166
3364,"H",109
3364,"N",8
3365,"H",141
3365,"A",180
3365,"N",21
3366,"N",33
3366,"H",107
3366,"A",201
3367,"H",72
3367,"N",5
3367,"A",146
3368,"H",136
3368,"N",10
3368,"A",269
3369,"N",24
3369,"H",107
3369,"A",201
3370,"H",82
3370,"N",13
3370,"A",102
3371,"H",145
3371,"A",181
3371,"N",31
3372,"N",24
3372,"A",143
3372,"H",67
3373,"H",138
3373,"A",181
3373,"N",22
3374,"N",23
3374,"H",118
3374,"A",173
3375,"N",20
3375,"A",193
3375,"H",130
3376,"H",95
3376,"N",25
3376,"A",125
3377,"A",52
3377,"H",13
3377,"N",15
3378,"A",146
3378,"H",113
3378,"N",41
3379,"H",117
3379,"A",192
3379,"N",25
3380,"N",31
3380,"A",187
3380,"H",61
3381,"N",22
3381,"A",245
3381,"H",133
3382,"A",213
3382,"H",122
3382,"N",26
3383,"N",18
3383,"A",247
3383,"H",209
3384,"N",12
3384,"A",212
3384,"H",107
3385,"N",33
3385,"H",128
3385,"A",159
3386,"N",25
3386,"H",115
3386,"A",151
3387,"A",215
3387,"N",23
3387,"H",137
3388,"A",156
3388,"N",21
3388,"H",92
3389,"A",225
3389,"H",174
3389,"N",19
3390,"H",35
3390,"A",73
3390,"N",8
3391,"N",22
3391,"H",127
3391,"A",193
3392,"H",118
3392,"A",186
3392,"N",16
3393,"H",110
3393,"A",160
3393,"N",27
3394,"H",100
3394,"A",183
3394,"N",24
3395,"N",25
3395,"A",152
3395,"H",88
3396,"N",23
3396,"H",104
3396,"A",154
3397,"N",12
3397,"A",68
3397,"H",43
3398,"H",159
3398,"A",249
3398,"N",25
3399,"N",19
3399,"H",115
3399,"A",181
3400,"A",139
3400,"H",83
3400,"N",19
3401,"A",140
3401,"N",28
3401,"H",90
3402,"A",218
3402,"N",19
3402,"H",120
3403,"N",27
3403,"A",154
3403,"H",99
3404,"N",32
3404,"H",83
3404,"A",219
3405,"H",92
3405,"N",17
3405,"A",157
3406,"A",222
3406,"H",158
3406,"N",25
3407,"N",25
3407,"A",217
3407,"H",115
3408,"N",27
3408,"A",120
3408,"H",103
3409,"H",142
3409,"A",215
3409,"N",22
3410,"H",130
3410,"A",229
3410,"N",30
3411,"H",121
3411,"A",244
3411,"N",26
3412,"A",172
3412,"H",124
3412,"N",30
3413,"H",68
3413,"A",116
3413,"N",13
3414,"N",21
3414,"A",227
3414,"H",179
3415,"A",176
3415,"N",20
3415,"H",107
3416,"N",25
3416,"A",173
3416,"H",146
3417,"H",92
3417,"N",22
3417,"A",155
3418,"A",221
3418,"N",22
3418,"H",149
3419,"N",21
3419,"A",224
3419,"H",130
3420,"H",156
3420,"N",25
3420,"A",225
3421,"H",154
3421,"A",235
3421,"N",14
3422,"H",128
3422,"A",208
3422,"N",29
3423,"A",217
3423,"N",23
3423,"H",142
3424,"N",23
3424,"A",176
3424,"H",133
3425,"A",180
3425,"N",17
3425,"H",121
3426,"H",81
3426,"A",182
3426,"N",45
3427,"H",137
3427,"A",191
3427,"N",20
3428,"H",91
3428,"A",129
3428,"N",29
3429,"H",103
3429,"A",164
3429,"N",27
3430,"A",161
3430,"H",89
3430,"N",23
3431,"H",114
3431,"N",25
3431,"A",179
3433,"N",17
3433,"A",180
3433,"H",111
3434,"A",218
3434,"N",19
3434,"H",139
3435,"H",88
3435,"N",20
3435,"A",157
3436,"N",23
3436,"H",126
3436,"A",197
3437,"N",27
3437,"A",147
3437,"H",100
3438,"H",101
3438,"N",34
3438,"A",150
3439,"A",155
3439,"N",23
3439,"H",116
3441,"N",24
3441,"A",215
3441,"H",164
3442,"A",197
3442,"H",97
3442,"N",29
3443,"A",138
3443,"H",70
3443,"N",17
3444,"H",122
3444,"A",219
3444,"N",35
3445,"H",37
3445,"A",51
3445,"N",4
3447,"N",18
3447,"A",260
3447,"H",186
3448,"H",161
3448,"A",199
3448,"N",25
3449,"A",174
3449,"H",118
3449,"N",24
3450,"A",234
3450,"H",197
3450,"N",35
3451,"H",148
3451,"A",220
3451,"N",21
3452,"H",99
3452,"N",25
3452,"A",154
3453,"N",7
3453,"H",46
3453,"A",71
3454,"H",129
3454,"N",10
3454,"A",198
3455,"A",188
3455,"H",118
3455,"N",35
3456,"H",154
3456,"N",26
3456,"A",214
3457,"N",30
3457,"H",159
3457,"A",232
3458,"N",22
3458,"A",202
3458,"H",144
3459,"N",18
3459,"A",276
3459,"H",169
3460,"N",19
3460,"A",193
3460,"H",125
3461,"N",24
3461,"H",93
3461,"A",167
3462,"H",109
3462,"N",23
3462,"A",145
3463,"H",130
3463,"A",203
3463,"N",23
3464,"A",227
3464,"H",140
3464,"N",15
3465,"A",12
3465,"H",10
3465,"N",4
3466,"H",6
3466,"A",11
3467,"A",6
3467,"H",3
